line_item,period,value,ticker,company_name
Net Income Common Stockholders,2024-12-31,54836305000000.0,BBCA.JK,Bank Central Asia
Net Income Common Stockholders,2023-12-31,48639122000000.0,BBCA.JK,Bank Central Asia
Net Income Common Stockholders,2022-12-31,40735722000000.0,BBCA.JK,Bank Central Asia
Net Income,2025-12-31,57537287000000.0,BBCA.JK,Bank Central Asia
Net Income,2024-12-31,54836305000000.0,BBCA.JK,Bank Central Asia
Net Income,2023-12-31,48639122000000.0,BBCA.JK,Bank Central Asia
Net Income,2022-12-31,40735722000000.0,BBCA.JK,Bank Central Asia
Minority Interests,2025-12-31,-25806000000.0,BBCA.JK,Bank Central Asia
Minority Interests,2024-12-31,-14969000000.0,BBCA.JK,Bank Central Asia
Minority Interests,2023-12-31,-18973000000.0,BBCA.JK,Bank Central Asia
Minority Interests,2022-12-31,-19850000000.0,BBCA.JK,Bank Central Asia
Net Income Including Noncontrolling Interests,2025-12-31,57563093000000.0,BBCA.JK,Bank Central Asia
Net Income Including Noncontrolling Interests,2024-12-31,54851274000000.0,BBCA.JK,Bank Central Asia
Net Income Including Noncontrolling Interests,2023-12-31,48658095000000.0,BBCA.JK,Bank Central Asia
Net Income Including Noncontrolling Interests,2022-12-31,40755572000000.0,BBCA.JK,Bank Central Asia
Net Income Continuous Operations,2025-12-31,57563093000000.0,BBCA.JK,Bank Central Asia
Net Income Continuous Operations,2024-12-31,54851274000000.0,BBCA.JK,Bank Central Asia
Net Income Continuous Operations,2023-12-31,48658095000000.0,BBCA.JK,Bank Central Asia
Net Income Continuous Operations,2022-12-31,40755572000000.0,BBCA.JK,Bank Central Asia
Tax Provision,2025-12-31,13697783000000.0,BBCA.JK,Bank Central Asia
Tax Provision,2024-12-31,13366576000000.0,BBCA.JK,Bank Central Asia
Tax Provision,2023-12-31,11521662000000.0,BBCA.JK,Bank Central Asia
Tax Provision,2022-12-31,9711461000000.0,BBCA.JK,Bank Central Asia
Pretax Income,2025-12-31,71260876000000.0,BBCA.JK,Bank Central Asia
Pretax Income,2024-12-31,68217850000000.0,BBCA.JK,Bank Central Asia
Pretax Income,2023-12-31,60179757000000.0,BBCA.JK,Bank Central Asia
Pretax Income,2022-12-31,50467033000000.0,BBCA.JK,Bank Central Asia
Special Income Charges,2025-12-31,1085417000000.0,BBCA.JK,Bank Central Asia
Special Income Charges,2024-12-31,835820000000.0,BBCA.JK,Bank Central Asia
Special Income Charges,2023-12-31,1210427000000.0,BBCA.JK,Bank Central Asia
Special Income Charges,2022-12-31,44270000000.0,BBCA.JK,Bank Central Asia
Write Off,2025-12-31,-1085417000000.0,BBCA.JK,Bank Central Asia
Write Off,2024-12-31,-835820000000.0,BBCA.JK,Bank Central Asia
Write Off,2023-12-31,-1210427000000.0,BBCA.JK,Bank Central Asia
Write Off,2022-12-31,-44270000000.0,BBCA.JK,Bank Central Asia
Gain On Sale Of Security,2025-12-31,3015593000000.0,BBCA.JK,Bank Central Asia
Gain On Sale Of Security,2024-12-31,1709301000000.0,BBCA.JK,Bank Central Asia
Gain On Sale Of Security,2023-12-31,1345430000000.0,BBCA.JK,Bank Central Asia
Gain On Sale Of Security,2022-12-31,-1051603000000.0,BBCA.JK,Bank Central Asia
Operating Expense,2025-12-31,39120784000000.0,BBCA.JK,Bank Central Asia
Operating Expense,2024-12-31,38552392000000.0,BBCA.JK,Bank Central Asia
Operating Expense,2023-12-31,39503700000000.0,BBCA.JK,Bank Central Asia
Operating Expense,2022-12-31,34541198000000.0,BBCA.JK,Bank Central Asia
Other Operating Expenses,2025-12-31,2465664000000.0,BBCA.JK,Bank Central Asia
Other Operating Expenses,2024-12-31,2278074000000.0,BBCA.JK,Bank Central Asia
Other Operating Expenses,2023-12-31,4133051000000.0,BBCA.JK,Bank Central Asia
Other Operating Expenses,2022-12-31,3626962000000.0,BBCA.JK,Bank Central Asia
Depreciation And Amortization In Income Statement,2025-12-31,2602035000000.0,BBCA.JK,Bank Central Asia
Depreciation And Amortization In Income Statement,2024-12-31,2167549000000.0,BBCA.JK,Bank Central Asia
Depreciation And Amortization In Income Statement,2023-12-31,3211483000000.0,BBCA.JK,Bank Central Asia
Depreciation And Amortization In Income Statement,2022-12-31,2662190000000.0,BBCA.JK,Bank Central Asia
Amortization,2025-12-31,199255000000.0,BBCA.JK,Bank Central Asia
Amortization,2024-12-31,150095000000.0,BBCA.JK,Bank Central Asia
Amortization,2023-12-31,276409000000.0,BBCA.JK,Bank Central Asia
Amortization,2022-12-31,284770000000.0,BBCA.JK,Bank Central Asia
Depreciation Income Statement,2025-12-31,2402780000000.0,BBCA.JK,Bank Central Asia
Depreciation Income Statement,2024-12-31,2017454000000.0,BBCA.JK,Bank Central Asia
Depreciation Income Statement,2023-12-31,2935074000000.0,BBCA.JK,Bank Central Asia
Depreciation Income Statement,2022-12-31,2377420000000.0,BBCA.JK,Bank Central Asia
Selling General And Administration,2025-12-31,12464337000000.0,BBCA.JK,Bank Central Asia
Selling General And Administration,2024-12-31,13202749000000.0,BBCA.JK,Bank Central Asia
Selling General And Administration,2023-12-31,12653813000000.0,BBCA.JK,Bank Central Asia
Selling General And Administration,2022-12-31,11360112000000.0,BBCA.JK,Bank Central Asia
Selling And Marketing Expense,2025-12-31,1596938000000.0,BBCA.JK,Bank Central Asia
Selling And Marketing Expense,2024-12-31,1657278000000.0,BBCA.JK,Bank Central Asia
Selling And Marketing Expense,2023-12-31,1630166000000.0,BBCA.JK,Bank Central Asia
Selling And Marketing Expense,2022-12-31,1318563000000.0,BBCA.JK,Bank Central Asia
General And Administrative Expense,2025-12-31,10867399000000.0,BBCA.JK,Bank Central Asia
General And Administrative Expense,2024-12-31,11545471000000.0,BBCA.JK,Bank Central Asia
General And Administrative Expense,2023-12-31,11023647000000.0,BBCA.JK,Bank Central Asia
